ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Media_IDs,Position,Audio_Start,Audio_End,graid,add_orthography,Text_ID,isnref,refind,refindFK
iar_0001,mcteop,Bara.,#	Bara,#	alright,Alright.,en,MORPHEME_ALIGNED,,iar_mp3 iar_wav iar_eaf iar_xml iar_tsv,,0,1843,##	other,,iar,∅	∅,∅	∅,∅	∅
iar_0002,mcteop,Enaa a henanaa e Ruth Iarabee.,#	Enaa	a	hena	-naa	e	Ruth Iarabee,#	1SG.PRON	ART2.SG	name	-1SG.PRON	ART1	Ruth.Iarabee,My name is Ruth Iarabee.,en,MORPHEME_ALIGNED,,iar_mp3 iar_wav iar_eaf iar_xml iar_tsv,,1843,5708,##	pro.1:dt_poss	ln	np:s	-rn_pro.1:poss	ln	np:pred,,iar,∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅
iar_0003,mcteop,Enaa kahi vahutate nom a -,#	Enaa	kahi	vahutate	nom,#	1SG.PRON	TAM1	tell	1SG.IPFV,I am going to tell a -,en,MORPHEME_ALIGNED,,iar_mp3 iar_wav iar_eaf iar_xml iar_tsv,,5708,8974,##	pro.1:a	lv	v:pred	rv-pro_1_a,,iar,∅	∅	∅	∅	∅,∅	∅	∅	∅	∅,∅	∅	∅	∅	∅
iar_0004,mcteop,o vahutate tea moon a henanae Taguone.,o	vahutate	te	=a	moon	#	a	hena	-na	=e	Taguone,ART3.SG	story	PREP	=ART2.SG	girl	#	ART2.SG	name	-3SG.POSS	=3SG.PRON	Taguone,a story about a girl whose name was Taguone.,en,MORPHEME_ALIGNED,,iar_mp3 iar_wav iar_eaf iar_xml iar_tsv,,8974,13328,ln	np:p	=rn_adp	=rn	rn_np.h	##	ln	np:s	-rn_pro.h:poss	=rn_pro.h:poss	np:pred,,iar,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
iar_0005,mcteop,E - e - a hena na moon vai teo vahutate vai e Taguone.,#	a	hena	n=	a	moon	vai	te	=o	vahutate	vai	e	Taguone,#	ART2.SG	name	3SG.POSS=	ART2.SG	girl	DEM6	PREP	=ART3.SG	story	DEM6	ART1	Taguone,The name of this woman in this story was Taguone.,en,MORPHEME_ALIGNED,,iar_mp3 iar_wav iar_eaf iar_xml iar_tsv,,13328,19647,##	ln	np:s	=rn_pro.h:poss	rn	rn_np.h:poss	rn	=rn_adp	=rn	rn_np	rn	ln	np:pred,,iar,∅	∅	bridging	∅	∅	new	∅	∅	∅	∅	∅	∅	∅,∅	∅	1005	∅	∅	1004	∅	∅	∅	∅	∅	∅	∅,∅	∅	1005	∅	∅	1004	∅	∅	∅	∅	∅	∅	∅
iar_0006,mcteop,"Erau, bara,",#	Erau	bara,#	so	alright,"Now, alright,",en,MORPHEME_ALIGNED,,iar_mp3 iar_wav iar_eaf iar_xml iar_tsv,,19647,22246,##	other	other,,iar,∅	∅	∅,∅	∅	∅,∅	∅	∅
iar_0007,mcteop,e Taguone na - na aba roho,e	Taguone	na	aba	roho,ART1	Taguone	TAM2	person	before,Taguone was - was a person,en,MORPHEME_ALIGNED,,iar_mp3 iar_wav iar_eaf iar_xml iar_tsv,,22246,26918,ln	np.h:s	lv	v:pred	other,,iar,∅	∅	∅	∅	∅,∅	1004	∅	∅	∅,∅	1004	∅	∅	∅
iar_0008,mcteop,evehee o - a si - o si taba koa o si -,#	evehee	ZERO	o	si	taba	koa,#	but	3SG.ZERO	ART3.SG	DIM	thing	only,but a little - only a little thing,en,MORPHEME_ALIGNED,,iar_mp3 iar_wav iar_eaf iar_xml iar_tsv,,26918,31200,##	other	0.h:s	ln	ln	np:pred	other,,iar,∅	∅	∅	∅	∅	∅	∅,∅	∅	1004	∅	∅	∅	∅,∅	∅	1004	∅	∅	∅	∅
iar_0009,mcteop,o si is- ta vasu.,#	ZERO	o	si	ta	vasu,#	3SG.ZERO	ART3.SG	DIM	piece	stone,a little piece of stone.,en,MORPHEME_ALIGNED,,iar_mp3 iar_wav iar_eaf iar_xml iar_tsv,,31200,33574,##	0.h:s	ln	ln	np:pred	rn,,iar,∅	∅	∅	∅	∅	∅,∅	1004	∅	∅	∅	∅,∅	1004	∅	∅	∅	∅
iar_0010,mcteop,O - o - enam na ius ni nom ee,#	enam	na	ius	ni	nom	ee,#	1PL.EX.PRON	TAM2	use	APPL	1PL.EX.IPFV	3SG.PRON,A - a - we used it for,en,MORPHEME_ALIGNED,,iar_mp3 iar_wav iar_eaf iar_xml iar_tsv,,33574,35807,##	pl_pro.1:a	lv	v:pred	rv	rv-pl_pro_1_a	pro:p,,iar,∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅
iar_0011,mcteop,tea paku a kahonam orepaa gogooravi,#	tea	paku	a	kaho	-nam	#	o-re=	paa	gogoravi,#	COMP1	make	ART2.SG	head	-1PL.EX	#	3PRON-CONSEC=	TAM3	red,"doing our head so that it becomes red,",en,MORPHEME_ALIGNED,,iar_mp3 iar_wav iar_eaf iar_xml iar_tsv,,35807,39186,#cc	other	vother:pred	ln	np:p	-rn_pl_pro.1:poss	##	=pro:s	lv	v:pred,,iar,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
iar_0012,mcteop,"o uhu, o uhu.",#	ZERO	o	uhu,#	3SG.ZERO	ART3.SG	dye,"dye, dye (was it).",en,MORPHEME_ALIGNED,,iar_mp3 iar_wav iar_eaf iar_xml iar_tsv,,39186,41270,##	0:s	ln	np:pred,,iar,∅	∅	∅	∅,∅	∅	∅	∅,∅	∅	∅	∅
iar_0013,mcteop,Erau mea moon vai tea peha inu vai,#	Erau	me=	a	moon	vai	te	=a	peha	inu	vai,#	then	and4=	ART2.SG	woman	DEM6	PREP	=ART2.SG	one.A	house	DEM6,"Now, this woman of this house",en,MORPHEME_ALIGNED,,iar_mp3 iar_wav iar_eaf iar_xml iar_tsv,,41270,44604,##	other	=other	ln	np.h:a	rn	rn_adp	=rn	rn	rn_np	rn,,iar,∅	∅	∅	∅	new	∅	∅	∅	∅	bridging	∅,∅	∅	∅	∅	1010	∅	∅	∅	∅	1011	∅,∅	∅	∅	∅	1010	∅	∅	∅	∅	1011	∅
iar_0014,mcteop,"paa vaatii roho bono tagu, o si kepo vasu",paa	vaa-tii	roho	bono	tagu	o	si	kepo	vasu,TAM3	CAUS-be	before	OBJ.ART3.SG	lump	ART3.SG	DIM	piece	stone,"had stored the lump, this little piece of stone",en,MORPHEME_ALIGNED,,iar_mp3 iar_wav iar_eaf iar_xml iar_tsv,,44604,48480,lv	v:pred	other	ln	np:p	ln	ln	np:dt_p	rn,,iar,∅	∅	∅	∅	new	∅	∅	∅	∅,∅	∅	∅	∅	1006	∅	∅	1006	∅,∅	∅	∅	∅	1006	∅	∅	1006	∅
iar_0015,mcteop,vai o -,vai,DEM6,...,en,MORPHEME_ALIGNED,,iar_mp3 iar_wav iar_eaf iar_xml iar_tsv,,48480,49960,rn,,iar,∅,∅,∅
iar_0016,mcteop,"tea tabae na siksiki nom nam orepaa muraka,",#	tea tabae	ZERO	na	sik-siki	nom	nam	#	o-re=	paa	muraka,#	because	3SG.ZERO	TAM2	RED-crush	1PL.EX.IPFV	1PL.EX.PRON	#	3PRON-CONSEC=	TAM3	soft,"because we crush (it) so that it becomes soft,",en,MORPHEME_ALIGNED,,iar_mp3 iar_wav iar_eaf iar_xml iar_tsv,,49960,53157,##	other	0:p	lv	v:pred	rv-pl_pro_1_a	pl_pro.1:a	##	=pro:s	lv	v:pred,,iar,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
iar_0017,mcteop,nam paa vaatei o oil,#	nam	paa	vaa-tei	o	oil,#	1PL.EX.PRON	TAM3	CAUS-be	ART3.SG	oil,we add oil,en,MORPHEME_ALIGNED,,iar_mp3 iar_wav iar_eaf iar_xml iar_tsv,,53157,55008,##	pl_pro.1:a	lv	v:pred	ln	np:p,,iar,∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅
iar_0018,mcteop,"me bona ei komana tope ae o one,",me	bona	ei	koma	-n=	a	tope	ae	o	one,with	4SG.PRON	DEM2	inside	-3SG.POSS=	ART2.SG	coconut.shell	and1	ART3.SG	clay,"to it, that is inside a coconut shell, and the clay,",en,MORPHEME_ALIGNED,,iar_mp3 iar_wav iar_eaf iar_xml iar_tsv,,55008,58442,adp	pro:obl	other	np:appos	-rn	rn	rn_np	ln	ln	np:dt_p,,iar,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
