corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
teop	mat	0001	#	#	##	##				
teop	mat	0001	Tei-tei	RED-stay	v:pred	v		pred		
teop	mat	0001	roho	before	rv	rv				
teop	mat	0001	a	ART2.SG	ln	ln				
teop	mat	0001	peha	INDEF.A	ln	ln				
teop	mat	0001	vaan	village	np:s	np		s		
teop	mat	0002	PAUSE	PAUSE	nc	nc				
teop	mat	0003	#	#	##	##				
teop	mat	0003	Peha	INDEF.A	ln	ln				
teop	mat	0003	a	ART2.SG	ln	ln				
teop	mat	0003	vaan	village	np:dt	np		dt		
teop	mat	0003	bona	ANA	rn	rn				
teop	mat	0003	tei-tei	RED-stay	v:pred	v		pred		
teop	mat	0003	peho	INDEF.O	ln	ln				
teop	mat	0003	o	ART2.PL	ln	ln				
teop	mat	0003	vahara	little.PL	ln	ln				
teop	mat	0003	beiko	child	pl_np.h:s	pl_np	h	s		
teop	mat	0004	#	#	##	##				
teop	mat	0004	ae	and1	other	other				
teop	mat	0004	a	ART2.SG	ln	ln				
teop	mat	0004	peha	INDEF.A	ln	ln				
teop	mat	0004	moon	woman	np.h:s	np	h	s		
teop	mat	0004	a	ART2.SG	lv	lv				
teop	mat	0004	gigo	pregnant	v:pred	v		pred		
teop	mat	0005	#	#	##	##				
teop	mat	0005	erau	so	other	other				
teop	mat	0005	a	ART2.SG	ln	ln				
teop	mat	0005	vahara	little.PL	ln	ln				
teop	mat	0005	beiko	child	pl_np.h:a	pl_np	h	a		
teop	mat	0005	re=	CONSEC=	other=	other=				
teop	mat	0005	paa	TAM3	lv	lv				
teop	mat	0005	nubu	set.off.early	v:pred	v		pred		
teop	mat	0005	bono	OBJ.ART3.SG	ln	ln				
teop	mat	0005	bai	mango tree	np:p	np		p		
teop	mat	0006	#	#	##	##				
teop	mat	0006	O	ART3.SG	ln	ln				
teop	mat	0006	bai	mango.tree	np:a	np		a		
teop	mat	0006	bona	ANA	rn	rn				
